;displaystopid;fullname;fullnamelocalized;lastupdated;latitude;longitude;operators;shortname;shortnamelocalized;stopid
0;2;Parnell Square;;19/06/2017 08:36;53.35224111;-6.263695;[{'name': 'bac', 'routes': ['38', '38A', '38B', '38D', '46A', '46E']}];Parnell Square;Cearnóg Parnell;2
1;3;Parnell Square;;19/06/2017 08:36;53.35230694;-6.263783056;[{'name': 'bac', 'routes': ['120', '122']}];Parnell Square;Cearnóg Parnell;3
2;4;Parnell Square;;19/06/2017 08:36;53.35256694;-6.264166111;[{'name': 'bac', 'routes': ['7', '7B', '7A', '7D', '9']}];Parnell Square;Cearnóg Parnell;4
3;6;Parnell Square;;19/06/2017 08:36;53.35274389;-6.264443056;[{'name': 'bac', 'routes': ['4']}];Parnell Square;Cearnóg Parnell;6
4;7;Parnell Square;;19/06/2017 08:36;53.35283611;-6.264561944;[{'name': 'bac', 'routes': ['40', '40B', '40D', '13', '140']}];Parnell Square;Cearnóg Parnell;7
5;8;Parnell Square;;19/06/2017 08:36;53.35328111;-6.265155;[{'name': 'bac', 'routes': ['16']}];Parnell Square;Cearnóg Parnell;8
6;10;Parnell Square;;19/06/2017 08:36;53.35338694;-6.265383889;[{'name': 'bac', 'routes': ['16', '16C', '1', '11', '44']}];Parnell Square;Cearnóg Parnell;10
7;11;Dorset St;;19/06/2017 08:36;53.35709389;-6.264366944;[{'name': 'bac', 'routes': ['40B', '40D', '40', '13']}];Dorset St;Sráid Dorset;11
8;12;Dorset St;;19/06/2017 08:36;53.35678889;-6.264623056;[{'name': 'bac', 'routes': ['122', '11', '1', '16', '44']}];Dorset St;Sráid Dorset;12
9;14;Dorset St;;19/06/2017 08:36;53.35853694;-6.262723889;[{'name': 'bac', 'routes': ['44', '40B', '40D', '40', '16', '1', '11', '122', '13']}];Dorset St;Sráid Dorset;14
10;15;Dorset St;;19/06/2017 08:36;53.36025111;-6.260973056;[{'name': 'bac', 'routes': ['13', '11', '1', '16', '33', '40', '40D', '40B', '44', '41', '41B', '41C']}];Dorset St;Sráid Dorset;15
11;16;Nephin Road;;19/06/2017 08:36;53.36641889;-6.305635;[{'name': 'bac', 'routes': ['122']}];Nephin Road;Bóthar Néifinne;16
12;17;Drumcondra Rd;;19/06/2017 08:36;53.36306694;-6.258398056;[{'name': 'bac', 'routes': ['13', '1', '11', '16', '33', '41C', '41B', '41', '44']}];Drumcondra Rd;Br Dhroim Conrach;17
13;18;Drumcondra Rd;;19/06/2017 08:36;53.36584889;-6.255931111;[{'name': 'bac', 'routes': ['44', '41', '41B', '41C', '33', '16', '11', '1', '13']}];Drumcondra Rd;Br Dhroim Conrach;18
14;19;Drumcondra Rd;;19/06/2017 08:36;53.36713806;-6.255493056;[{'name': 'bac', 'routes': ['13', '1', '11', '16', '33', '41C', '41B', '41', '44']}];Drumcondra Rd;Br Dhroim Conrach;19
15;21;Drumcondra Rd;;19/06/2017 08:36;53.37009194;-6.254291111;[{'name': 'bac', 'routes': ['44', '41', '41B', '41C', '33', '16', '11', '1', '13']}];Drumcondra Rd;Br Dhroim Conrach;21
16;22;Home Farm Road;;19/06/2017 08:36;53.37350306;-6.252781944;[{'name': 'bac', 'routes': ['11']}];Home Farm Road;Bóthar na Buaile;22
17;23;Home Farm Road;;19/06/2017 08:36;53.37423194;-6.256245;[{'name': 'bac', 'routes': ['11']}];Home Farm Road;Bóthar na Buaile;23
18;24;Home Farm Road;;19/06/2017 08:36;53.375135;-6.260346111;[{'name': 'bac', 'routes': ['11']}];Home Farm Road;Bóthar na Buaile;24
19;25;Home Farm Road;;19/06/2017 08:36;53.37590306;-6.263611111;[{'name': 'bac', 'routes': ['11']}];Home Farm Road;Bóthar na Buaile;25
